docid,language_group,country,year,report_name,url,evidence_quote,short_excerpt,paragraph_text,hover_label,hover_label_plain,confidence,stage,match_method,short_match_method,filename
127.0,English,Afghanistan,2018,Environmental and social management framework EQRA Project,http://planipolis.iiep.unesco.org/en/2018/environmental-and-social-management-framework-eqra-project-6574,teachers for grades three to six will receive intensive instruction on using scripted lessons in teaching reading and math this involves providing lesson plans with a high degree of scripting,...in a pilot sample of 200 schools in secure districts teachers for grades three to six will receive intensive instruction on using scripted lessons in teaching reading and math this involves providing lesson plans with a high degree of scripting providing concrete steps for teachers continually...,...nt of academic supervision’s existing teacher coaching scheme by academic supervisors it will also seek to improve the capacity of school administrators such as heads of department and principals so that they can coach teachers on an ongoing basis the existing teacher coaching scheme itself will be significantly strengthened in a pilot sample of 200 schools in secure districts teachers for grades three to six will receive intensive instruction on using scripted lessons in teaching reading and math this involves providing lesson plans with a high degree of scripting providing concrete steps for teachers continually assess student performance and receive frequent school based pedagogic support and resource materials incorporated into this process will be training on subject content as well which is a second weakness of teachers in afghanistan the training will be conducted through a cluster based and limited cascade model this training wi...,Country: Afghanistan<br>Report Name: Environmental and social management framework EQRA Project<br>Text Excerpt: ...in a pilot sample of 200 schools in secure districts teachers for grades three to six will receive intensive instruction on using scripted lessons in teaching reading and math this involves providing lesson plans with a high degree of scripting providing concrete steps for teachers continually...,"Country: Afghanistan
Report Name: Environmental and social management framework EQRA Project
Text Excerpt: ...in a pilot sample of 200 schools in secure districts teachers for grades three to six will receive intensive instruction on using scripted lessons in teaching reading and math this involves providing lesson plans with a high degree of scripting providing concrete steps for teachers continually...",1.0,verify,direct,direct,afghanistan_eqra_2018_.pdf
414.0,English,Afghanistan,2020,Alternate education service delivery COVID-19: emergency response plan,http://planipolis.iiep.unesco.org/en/2020/alternate-education-service-delivery-covid-19-emergency-response-plan-6900,teacher will be provided with hard copies of the mentioned training material in schools and these material will be available online in moe website as well,...4 child psychology and 5 self teaching and learning methods teacher will be provided with hard copies of the mentioned training material in schools and these material will be available online in moe website as well c school and madrasa principals all the school and...,...dren 3 7 million returnee students fluctuating data so far b teachers and head teachers general education and islamic education all general education and islamic education teachers will be provided with educational and training materials and they will increase their capacity in 1 core subjects 2 class management 3 assessment mechanisms 4 child psychology and 5 self teaching and learning methods teacher will be provided with hard copies of the mentioned training material in schools and these material will be available online in moe website as well c school and madrasa principals all the school and madrasa principals will undertake the self learning and training packages in order to develop their competencies in school madrasa management principals will be provided with hard copies of the training material in schools and these material will be available online in moe website as well alternative learning mechanism options with the availabl...,Country: Afghanistan<br>Report Name: Alternate education service delivery COVID-19: emergency response plan<br>Text Excerpt: ...4 child psychology and 5 self teaching and learning methods teacher will be provided with hard copies of the mentioned training material in schools and these material will be available online in moe website as well c school and madrasa principals all the school and...,"Country: Afghanistan
Report Name: Alternate education service delivery COVID-19: emergency response plan
Text Excerpt: ...4 child psychology and 5 self teaching and learning methods teacher will be provided with hard copies of the mentioned training material in schools and these material will be available online in moe website as well c school and madrasa principals all the school and...",0.95,verify,direct,direct,afghanistan_moe_covid-19_alternative_learning_plan_-_eng.pdf
410.0,English,Afghanistan,2020,Alternative Education Plan,http://planipolis.iiep.unesco.org/en/2020/alternative-education-plan-6979,self learning guideline and self learning materials have been prepared • broadcasting schedule has been prepared • audio visual learning materials,...following preparation is ongoing or almost to be completed • self learning guideline and self learning materials have been prepared • broadcasting schedule has been prepared • audio visual learning materials which has been produced by the private sector have...,...broadcasting teaching videos and awareness programs through tvs and radios d supervision and assessment of students learning progress e strengthen preventive health measures from outbreak of corona virus in the moe offices and the education centers currently the ministry has taken practical measures for implementation of this plan and the following preparation is ongoing or almost to be completed • self learning guideline and self learning materials have been prepared • broadcasting schedule has been prepared • audio visual learning materials which has been produced by the private sector have been assessed and identified • the production of a v teaching materials is ongoing • pilot broadcast of a v teaching videos has started • mobilization and coordination with the government organizations private sector and civil society is ongoing totally an amount of 221 540 250 afs will be needed for implementation of this plan the table of activit...,Country: Afghanistan<br>Report Name: Alternative Education Plan<br>Text Excerpt: ...following preparation is ongoing or almost to be completed • self learning guideline and self learning materials have been prepared • broadcasting schedule has been prepared • audio visual learning materials which has been produced by the private sector have...,"Country: Afghanistan
Report Name: Alternative Education Plan
Text Excerpt: ...following preparation is ongoing or almost to be completed • self learning guideline and self learning materials have been prepared • broadcasting schedule has been prepared • audio visual learning materials which has been produced by the private sector have...",0.9,verify,direct,direct,afghanistan_final_consolidatedmoe_alternative_education_plan-english.pdf
431.0,English,Afghanistan,2020,Annual Operational Plan 2020/1399,http://planipolis.iiep.unesco.org/en/2020/annual-operational-plan-20201399-7014,development of textbooks teacher of mathematics science and language for grades 1 4 7 guides writing editing designing,...100 moe 109 698 054 115 171 200 afg 270898 artf ida gpe eqra development of textbooks teacher of mathematics science and language for grades 1 4 7 guides writing editing designing and 10 translation stationary etc of progress unesco...,...lopment care and pre primary education so that they are ready for primary education 1 1 new curriculum for ge based on national standards and of progress made in 100 100 620 600 163 170 054 47 500 40 000 000 competencies developed development of curriculum framework for grades 3 6 9 12 1 1 1 develop new textbooks and teacher guides in core subjects 100 100 moe 109 698 054 115 171 200 afg 270898 artf ida gpe eqra development of textbooks teacher of mathematics science and language for grades 1 4 7 guides writing editing designing and 10 translation stationary etc of progress unesco 10 000 000 afg 270908 besafe unesco education curriculum development moe 30 000 000 afg 270899 discretionary education curriculum reform 1 1 2 development of third languages textbooks teacher guides 100 100 moe 35 712 000 afg 270898 artf ida gpe eqra writing editing designing translation stationary etc 1 1 3 consultation on the revised curriculum of progress 1...,Country: Afghanistan<br>Report Name: Annual Operational Plan 2020/1399<br>Text Excerpt: ...100 moe 109 698 054 115 171 200 afg 270898 artf ida gpe eqra development of textbooks teacher of mathematics science and language for grades 1 4 7 guides writing editing designing and 10 translation stationary etc of progress unesco...,"Country: Afghanistan
Report Name: Annual Operational Plan 2020/1399
Text Excerpt: ...100 moe 109 698 054 115 171 200 afg 270898 artf ida gpe eqra development of textbooks teacher of mathematics science and language for grades 1 4 7 guides writing editing designing and 10 translation stationary etc of progress unesco...",0.8,verify,direct,direct,afghanistan_annual_operational_plan_for_nesp_iii_2020.pdf
16.0,English,Bangladesh,2004,Second Primary Education Development Program PEDP-II,http://planipolis.iiep.unesco.org/en/2004/second-primary-education-development-program-pedp-ii-4358,curriculum support packages » schoo! level improvement plan slip p supplementary reading materials for all schools,...district eee eee text books on time to all students s cadre p curriculum support packages » schoo! level improvement plan slip p supplementary reading materials for all schools b upazila primary education plan upep » gender...,...proved initial training ® new upazilla resource centras urcs! » increased in service teacher » satellite schools support training b additional space at dpe district and upazila offices increased capacity in primary b renovation of model schools _ teachers training institute pti b addianal medel rehawte support pools of specialist educalionalists in each district eee eee text books on time to all students s cadre p curriculum support packages » schoo! level improvement plan slip p supplementary reading materials for all schools b upazila primary education plan upep » gender sensilive materials bexcellent teachers awards provision of funds to smc s ess » community awareness and participation § loilet tacilities and safe drinking walter bhngbetad grek child appropriate chairs and tables b primary teachers registration increased school contact hours ® strengthening and capacity building of reduced class sizes nape ee b establish national as...,Country: Bangladesh<br>Report Name: Second Primary Education Development Program PEDP-II<br>Text Excerpt: ...district eee eee text books on time to all students s cadre p curriculum support packages » schoo! level improvement plan slip p supplementary reading materials for all schools b upazila primary education plan upep » gender...,"Country: Bangladesh
Report Name: Second Primary Education Development Program PEDP-II
Text Excerpt: ...district eee eee text books on time to all students s cadre p curriculum support packages » schoo! level improvement plan slip p supplementary reading materials for all schools b upazila primary education plan upep » gender...",0.95,verify,direct,direct,bangladesh_pedpii_features.pdf
364.0,English,Bangladesh,2011,Third Primary Education Development Programme PEDP3. 1: Main Document. 2: Implementation Guide. 3: Detailed Costings. 4: Annexes,http://planipolis.iiep.unesco.org/en/2011/third-primary-education-development-programme-pedp3-1-main-document-2-implementation-guide-3,teachers are accountable to ensure the learning progress and achievement of all children through effective teaching learning process  participate in continuous professional development activities concerned with school curriculum subject contents assessment and other job related issues  prepare and use of lesson plans  prepare use and preserve lesson based teaching aids  use of teacher’s guide and other teaching learning materials,...begin with the teachers functions school and community teachers teachers are accountable to ensure the learning progress and achievement of all children through effective teaching learning process  participate in continuous professional development activities concerned with school curriculum subject contents assessment and other job related issue...,...budget organograms for all units and agencies are described in this annex along with staffing requirements because pedp3 is focused on learning in the classroom the implementation arrangements begin with the teachers functions school and community teachers teachers are accountable to ensure the learning progress and achievement of all children through effective teaching learning process  participate in continuous professional development activities concerned with school curriculum subject contents assessment and other job related issues  prepare and use of lesson plans  prepare use and preserve lesson based teaching aids  use of teacher’s guide and other teaching learning materials  ensure child friendly and activity based classroom teaching learning practices  display children’s work  carry out all other related activities assigned by the government head teachers head teachers have a particular responsibility to support and moni...,Country: Bangladesh<br>Report Name: Third Primary Education Development Programme PEDP3. 1: Main Document. 2: Implementation Guide. 3: Detailed Costings. 4: Annexes<br>Text Excerpt: ...begin with the teachers functions school and community teachers teachers are accountable to ensure the learning progress and achievement of all children through effective teaching learning process  participate in continuous professional development activities concerned with school curriculum subject contents assessment and other job related issue...,"Country: Bangladesh
Report Name: Third Primary Education Development Programme PEDP3. 1: Main Document. 2: Implementation Guide. 3: Detailed Costings. 4: Annexes
Text Excerpt: ...begin with the teachers functions school and community teachers teachers are accountable to ensure the learning progress and achievement of all children through effective teaching learning process  participate in continuous professional development activities concerned with school curriculum subject contents assessment and other job related issue...",0.95,verify,direct,direct,bangladesh_pedp3.pdf
38.0,English,Bangladesh,2012,Reaching Out of School Children (ROSC II),http://planipolis.iiep.unesco.org/en/2012/reaching-out-school-children-rosc-ii-6626,academic guidance to lc teachers on the use of subject plans teaching learning materials including posters charts and audio visual clips,...head teachers hts and upazila tcs would be mobilized to provide academic guidance to lc teachers on the use of subject plans teaching learning materials including posters charts and audio visual clips and continuous student assessments government of...,...ors tcs development of appropriate training course for tcs and lc teachers provision of classroom support to teachers and selection development of appropriate teaching learning materials tcs and rps would provide training to lc teachers 17 under classroom support sub component assistant upazila education officers aueos nearby primary school head teachers hts and upazila tcs would be mobilized to provide academic guidance to lc teachers on the use of subject plans teaching learning materials including posters charts and audio visual clips and continuous student assessments government of bangladesh would continue to provide free nctb text books to rosc students supplementary teaching learning materials developed and used by different agencies for example nctb brac education program brac ied english in action eia and save the children will be indentified and arrangements would be made to make the materials available at rosc lcs 18 pre voca...,Country: Bangladesh<br>Report Name: Reaching Out of School Children (ROSC II)<br>Text Excerpt: ...head teachers hts and upazila tcs would be mobilized to provide academic guidance to lc teachers on the use of subject plans teaching learning materials including posters charts and audio visual clips and continuous student assessments government of...,"Country: Bangladesh
Report Name: Reaching Out of School Children (ROSC II)
Text Excerpt: ...head teachers hts and upazila tcs would be mobilized to provide academic guidance to lc teachers on the use of subject plans teaching learning materials including posters charts and audio visual clips and continuous student assessments government of...",0.95,verify,direct,direct,bangladesh_revised_emf_rosc_ii_july_16.pdf
269.0,English,Bangladesh,2015,Third Primary Education Development Program (PEDP - 3) - Revised (2011-2016),http://planipolis.iiep.unesco.org/en/2015/third-primary-education-development-program-pedp-3-revised-2011-2016-6393,textbooks and teachers’ guides will be developed trialed adjusted and introduced nationwide for all subjects in all primary grades,...over the pedp 3 period in accordance with an agreed timetable textbooks and teachers’ guides will be developed trialed adjusted and introduced nationwide for all subjects in all primary grades the revised curriculum and teaching guides will be...,...culum keeping consistency with the 2010 national education policy as well as subject specific academic skills realistic and achievable subject wise and grade wise learning outcomes and terminal competencies both academic and general are being identified nctb revised the curriculum in 2011 this was followed by the development of textbooks in 2012 over the pedp 3 period in accordance with an agreed timetable textbooks and teachers’ guides will be developed trialed adjusted and introduced nationwide for all subjects in all primary grades the revised curriculum and teaching guides will be mainstreamed through on going professional development activities diploma in primary education courses and teacher professional networks close attention will be paid to world wide developments in relation to digital textbooks and their potential educational and cost saving benefits to primary schools of bangladesh this sub component includes study curricul...,Country: Bangladesh<br>Report Name: Third Primary Education Development Program (PEDP - 3) - Revised (2011-2016)<br>Text Excerpt: ...over the pedp 3 period in accordance with an agreed timetable textbooks and teachers’ guides will be developed trialed adjusted and introduced nationwide for all subjects in all primary grades the revised curriculum and teaching guides will be...,"Country: Bangladesh
Report Name: Third Primary Education Development Program (PEDP - 3) - Revised (2011-2016)
Text Excerpt: ...over the pedp 3 period in accordance with an agreed timetable textbooks and teachers’ guides will be developed trialed adjusted and introduced nationwide for all subjects in all primary grades the revised curriculum and teaching guides will be...",0.95,verify,direct,direct,bangladesh_pedp-3_brief_revised.pdf
377.0,English,Cambodia,2021,Gender mainstreaming plan for education 2021-2025,http://planipolis.iiep.unesco.org/en/2021/gender-mainstreaming-plan-education-2021-2025,provide trainings on gender equality responsive teaching mythology and lesson plan,...to assist gender responsive teaching and learning process provide trainings on gender equality responsive teaching mythology and lesson plan conduct training for gender working groups school...,...ogrammes physical education and sport teacher training curriculum 15 mainstream gender in teacher training programmes sub strategy 4 2 mainstream gender in teaching and learning activities conduct training for teachers and trainers on gender sensitive responsiveness pedagogy and gender equality responsive education enhance teacher’s capacity on producing teaching materials to assist gender responsive teaching and learning process provide trainings on gender equality responsive teaching mythology and lesson plan conduct training for gender working groups school principals and teachers on gender responsive digital education sub strategy 4 3 mainstream gender in leadership and management at institutions and schools and preparation of gender responsive education environment conduct training on gender responsive school leadership and management provide training on developing gender responsive terms of reference and ensuring gender equality i...,Country: Cambodia<br>Report Name: Gender mainstreaming plan for education 2021-2025<br>Text Excerpt: ...to assist gender responsive teaching and learning process provide trainings on gender equality responsive teaching mythology and lesson plan conduct training for gender working groups school...,"Country: Cambodia
Report Name: Gender mainstreaming plan for education 2021-2025
Text Excerpt: ...to assist gender responsive teaching and learning process provide trainings on gender equality responsive teaching mythology and lesson plan conduct training for gender working groups school...",0.9,verify,direct,direct,cambodia_Gender_mainstreaming_strategic_plan_in_Education_2021_2025.pdf
36.0,French,Chad,2018,Projet de renforcement de l’éducation et de l’alphabétisation au Tchad (PREAT),http://planipolis.iiep.unesco.org/en/2018/projet-de-renforcement-de-l%E2%80%99%C3%A9ducation-et-de-l%E2%80%99alphab%C3%A9tisation-au-tchad-preat-6559,le projet financera aussi un cycle de formation spécifique aux nouveaux manuels injectés dans le système,...la distribution de 896 000 ardoises destinées aux élèves du cp le projet financera aussi un cycle de formation spécifique aux nouveaux manuels injectés dans le système concernant les modalités d’acquisition l’option prise...,...860 5 860 guide pédagogique de svt pour cm2 5 860 5 860 total guide pédagogique pour cm 0 24 120 11 720 35 840 total général 34 000 41 120 61 340 136 460 le projet de renforcement de l’éducation et de l’alphabétisation au tchad 43 projet de renforcement de l’éducation et de l’alphabétisation au tchad version finale le projet financera aussi l’acquisition et la distribution de 896 000 ardoises destinées aux élèves du cp le projet financera aussi un cycle de formation spécifique aux nouveaux manuels injectés dans le système concernant les modalités d’acquisition l’option prise dans le cadre du preat est de recourir à l’appel d’offres international en effet l’expérience de l’édition sur le plan national vécue dans des projets précédents montre que les coûts unitaires au niveau local sont dans un rapport de 1 à 8 voire de 1 à 10 par rapport à la réalité du marché international 4 4 2 2 amélioration de la formation continue des différents act...,Country: Chad<br>Report Name: Projet de renforcement de l’éducation et de l’alphabétisation au Tchad (PREAT)<br>Text Excerpt: ...la distribution de 896 000 ardoises destinées aux élèves du cp le projet financera aussi un cycle de formation spécifique aux nouveaux manuels injectés dans le système concernant les modalités d’acquisition l’option prise...,"Country: Chad
Report Name: Projet de renforcement de l’éducation et de l’alphabétisation au Tchad (PREAT)
Text Excerpt: ...la distribution de 896 000 ardoises destinées aux élèves du cp le projet financera aussi un cycle de formation spécifique aux nouveaux manuels injectés dans le système concernant les modalités d’acquisition l’option prise...",0.85,verify,direct,direct,chad_renforcement_education.pdf
