docid,language_group,country,year,report_name,url,evidence_quote,short_excerpt,paragraph_text,hover_label,hover_label_plain,confidence,stage,match_method,short_match_method,filename
185.0,English,Afghanistan,2022,Afghanistan Education Sector Transitional Framework,http://planipolis.iiep.unesco.org/en/2022/afghanistan-education-sector-transitional-framework,the standard approach to standardized approach to learning ‘catch up’ catch up classes does not need to be grade specific but rather should guide the teacher to select core content,...strategy 3 1 develop and implement a is ubiquitously beneficial the standard approach to standardized approach to learning ‘catch up’ catch up classes does not need to be grade specific but rather should guide the teacher to select core content in afghanistan learning outcomes have historically...,...herat province of afghanistan’ cogent education 8 1 available at https doi org 10 1080 2331186x 2021 1954466 32 afghanistan education sector transitional framework 3 addressing disruptions to learning a ‘refresher’ period either built into the school day or as additional class time before or after regular hours quality strategy 3 1 develop and implement a is ubiquitously beneficial the standard approach to standardized approach to learning ‘catch up’ catch up classes does not need to be grade specific but rather should guide the teacher to select core content in afghanistan learning outcomes have historically from the curriculum to review previous material and been low 67 this has been exacerbated by the covid 19 teach new material in a structured series of catch up pandemic conflict escalation and the political shift68 classes for children in early grades or with low levels as children return to school it will be important for of learn...,Country: Afghanistan<br>Report Name: Afghanistan Education Sector Transitional Framework<br>Text Excerpt: ...strategy 3 1 develop and implement a is ubiquitously beneficial the standard approach to standardized approach to learning ‘catch up’ catch up classes does not need to be grade specific but rather should guide the teacher to select core content in afghanistan learning outcomes have historically...,"Country: Afghanistan
Report Name: Afghanistan Education Sector Transitional Framework
Text Excerpt: ...strategy 3 1 develop and implement a is ubiquitously beneficial the standard approach to standardized approach to learning ‘catch up’ catch up classes does not need to be grade specific but rather should guide the teacher to select core content in afghanistan learning outcomes have historically...",0.95,verify,direct,direct,afghanistan_education_sector_transitional_framework_3_mar_2022.pdf
364.0,English,Bangladesh,2011,Third Primary Education Development Programme PEDP3. 1: Main Document. 2: Implementation Guide. 3: Detailed Costings. 4: Annexes,http://planipolis.iiep.unesco.org/en/2011/third-primary-education-development-programme-pedp3-1-main-document-2-implementation-guide-3,children learn at their own pace although two pupils may have acquired the third competency a third is may have already the ninth,...shikhbe protiti shishu will demonstrate individual differences children learn at their own pace although two pupils may have acquired the third competency a third is may have already the ninth something for teachers to handle sensitively but...,...d low cost ones with all schools the deeper ones with central level institutions accountable for input design nctb ptis dip in ed providers nape policy formulation committees and suchlike just as the teachers is held accountable for utilising inputs so also will the support institutions be accountable for providing quality inputs on timely bases shikhbe protiti shishu will demonstrate individual differences children learn at their own pace although two pupils may have acquired the third competency a third is may have already the ninth something for teachers to handle sensitively but accepting accountability for each child’s learning and driven by the desire to demonstrate success teachers will apply fresh methods these methods will make learning more enjoyable and effective for each 56 child outcomes will build increasing confidence and a growing sense of fulfilment each child learns parallel developments as shikhbe protiti shishu is be...,Country: Bangladesh<br>Report Name: Third Primary Education Development Programme PEDP3. 1: Main Document. 2: Implementation Guide. 3: Detailed Costings. 4: Annexes<br>Text Excerpt: ...shikhbe protiti shishu will demonstrate individual differences children learn at their own pace although two pupils may have acquired the third competency a third is may have already the ninth something for teachers to handle sensitively but...,"Country: Bangladesh
Report Name: Third Primary Education Development Programme PEDP3. 1: Main Document. 2: Implementation Guide. 3: Detailed Costings. 4: Annexes
Text Excerpt: ...shikhbe protiti shishu will demonstrate individual differences children learn at their own pace although two pupils may have acquired the third competency a third is may have already the ninth something for teachers to handle sensitively but...",0.95,verify,direct,direct,bangladesh_pedp3.pdf
484.0,English,Cambodia,2025,"Education strategic plan 2024-2028 (Second edition, February 2025)",http://planipolis.iiep.unesco.org/en/2024/education-strategic-plan-2024-2028,improving learning outcomes is possible through three main interventions based on international evidence namely structured pedagogy teaching at the right level and remediation,...“quality learning” and “quality teaching” it argues that improving learning outcomes is possible through three main interventions based on international evidence namely structured pedagogy teaching at the right level and remediation their successful implementation requires reforms at...,...ocument as it highlights priorities of the government and the community of development partners consider a major transformational priority and what they will support through their close collaboration the compact’s priority is “improve student learning outcomes” it incorporates three underlying priorities namely “gender equality” “quality learning” and “quality teaching” it argues that improving learning outcomes is possible through three main interventions based on international evidence namely structured pedagogy teaching at the right level and remediation their successful implementation requires reforms at various levels including the support offered by national systems to schools and teachers such as the school operating fund nation wide institutionalization of school based management through effective school leadership classroom assessments and the analysis of their findings to influence practice and teacher professional development...,"Country: Cambodia<br>Report Name: Education strategic plan 2024-2028 (Second edition, February 2025)<br>Text Excerpt: ...“quality learning” and “quality teaching” it argues that improving learning outcomes is possible through three main interventions based on international evidence namely structured pedagogy teaching at the right level and remediation their successful implementation requires reforms at...","Country: Cambodia
Report Name: Education strategic plan 2024-2028 (Second edition, February 2025)
Text Excerpt: ...“quality learning” and “quality teaching” it argues that improving learning outcomes is possible through three main interventions based on international evidence namely structured pedagogy teaching at the right level and remediation their successful implementation requires reforms at...",0.95,verify,direct,direct,Cambodia_ESP-2024-2028-Second-Edition.pdf
104.0,English,China,2010,Outline of China’s National Plan for Medium and Long-term Education Reform and Development,http://planipolis.iiep.unesco.org/en/2010/outline-chinas-national-plan-medium-and-long-term-education-reform-and-development,innovative teaching management approaches shall be promoted such as graded teaching students taking the same course from different teachers,...conduct and personality and develop every student’s potential innovative teaching management approaches shall be promoted such as graded teaching students taking the same course from different teachers academic credit system and a mentoring and tutorial...,...ol activity venues for primary and middle school students shall be built students’ associations and organizations shall be put under guidance students will be encouraged to take active part in volunteer service and programs for public good teaching students according to their aptitude we will be mindful of the differences between students in conduct and personality and develop every student’s potential innovative teaching management approaches shall be promoted such as graded teaching students taking the same course from different teachers academic credit system and a mentoring and tutorial system mechanisms shall be set up to assist students with learning difficulties the way in which top students are groomed shall be improved and assistance and guidance shall be offered to students who want to skip grades transfer to other schools or majors or select advanced courses open equal and competitive approaches shall be improved in school an...,Country: China<br>Report Name: Outline of China’s National Plan for Medium and Long-term Education Reform and Development<br>Text Excerpt: ...conduct and personality and develop every student’s potential innovative teaching management approaches shall be promoted such as graded teaching students taking the same course from different teachers academic credit system and a mentoring and tutorial...,"Country: China
Report Name: Outline of China’s National Plan for Medium and Long-term Education Reform and Development
Text Excerpt: ...conduct and personality and develop every student’s potential innovative teaching management approaches shall be promoted such as graded teaching students taking the same course from different teachers academic credit system and a mentoring and tutorial...",0.8,verify,direct,direct,China-Education-Plan-2010-2020.pdf
77.0,French,Djibouti,2017,Plan d'action de l'éducation 2017-2019,http://planipolis.iiep.unesco.org/en/2017/plan-daction-de-l%C3%A9ducation-2017-2019-6820,les élèves seront ainsi regroupés en fonction de leurs difficultés,...est de répondre aux besoins spé cifiques des élèves en classe les élèves seront ainsi regroupés en fonction de leurs difficultés par ailleurs les élèves en difficulté d‘apprentissage...,...n ii le développement de dispositifs d’encadrement des élèves en difficultés d’apprentissage le soutien aux élèves en difficulté d’apprentissage dès la 2ème année est une mesure indispensable pour permettre d’améliorer les acquis scolaires et donc d’améliorer les taux de réussite des élèves pour ce faire les enseignants seront formés à la pédagogie différenciée dont l’objectif est de répondre aux besoins spé cifiques des élèves en classe les élèves seront ainsi regroupés en fonction de leurs difficultés par ailleurs les élèves en difficulté d‘apprentissage seront pris en charge en dehors de la classe avec deux heures pae hebdomadaires supplémentaires qui seront inscrites dans l’emploi du temps iii l’amélioration de la formation continue des enseignants avec une approche basée sur les résultats à savoir comment s’assurer que les formations permettent une amélioration effective des apprentis sages la qualité de l’éducation se réalise dans...,Country: Djibouti<br>Report Name: Plan d'action de l'éducation 2017-2019<br>Text Excerpt: ...est de répondre aux besoins spé cifiques des élèves en classe les élèves seront ainsi regroupés en fonction de leurs difficultés par ailleurs les élèves en difficulté d‘apprentissage...,"Country: Djibouti
Report Name: Plan d'action de l'éducation 2017-2019
Text Excerpt: ...est de répondre aux besoins spé cifiques des élèves en classe les élèves seront ainsi regroupés en fonction de leurs difficultés par ailleurs les élèves en difficulté d‘apprentissage...",0.95,verify,direct,direct,djibouti_plan_action_2017-2019.pdf
296.0,English,Grenada,2006,Strategic plan for educational enhancement and development 2006-2015 SPEED II. Volume 1: The strategic framework,http://planipolis.iiep.unesco.org/en/2006/strategic-plan-educational-enhancement-and-development-2006-2015-speed-ii-volume-1-strategic,introduce and strengthen the application of modalities high initial and ongoing diagnostic assessment functioning by 2010 differentiated instruction flexible grouping and individualized instruction as a basic aspect of the instructional programme in schools,...and support and secondary education to schools by 2010 e introduce and strengthen the application of modalities high initial and ongoing diagnostic assessment functioning by 2010 differentiated instruction flexible grouping and individualized instruction as a basic aspect of the instructional programme in schools f develop and or...,...r implementation 50 speed ii strategic plan for educational enhancement and development 2006 2015 priority sub strategic objectives 4 3 1 indicative target rating d institutionalize a remedial and accelerated trained officers and high learning programme as a basic part of primary teachers and support and secondary education to schools by 2010 e introduce and strengthen the application of modalities high initial and ongoing diagnostic assessment functioning by 2010 differentiated instruction flexible grouping and individualized instruction as a basic aspect of the instructional programme in schools f develop and or strengthen curriculum focus on revised curriculum medium values education including religious education in place by 2008 and civic awareness g strengthen early childhood education and eced providers high development eced to promote emphasis on trained by 2009 the developmental skills of children support to ece centres by 2010...,Country: Grenada<br>Report Name: Strategic plan for educational enhancement and development 2006-2015 SPEED II. Volume 1: The strategic framework<br>Text Excerpt: ...and support and secondary education to schools by 2010 e introduce and strengthen the application of modalities high initial and ongoing diagnostic assessment functioning by 2010 differentiated instruction flexible grouping and individualized instruction as a basic aspect of the instructional programme in schools f develop and or...,"Country: Grenada
Report Name: Strategic plan for educational enhancement and development 2006-2015 SPEED II. Volume 1: The strategic framework
Text Excerpt: ...and support and secondary education to schools by 2010 e introduce and strengthen the application of modalities high initial and ongoing diagnostic assessment functioning by 2010 differentiated instruction flexible grouping and individualized instruction as a basic aspect of the instructional programme in schools f develop and or...",0.95,verify,direct,direct,grenada_speed_ii.pdf
429.0,English,Jordan,2018,Education strategic plan 2018-2022,http://planipolis.iiep.unesco.org/en/2018/education-strategic-plan-2018-2022-6461,these children would join an intensive compensation program of one or two years depending on the need of each student individually,...than four years older than the prescribed age for the grade these children would join an intensive compensation program of one or two years depending on the need of each student individually and then be evaluated and re registered in public...,...illing to join non formal education jordanian syrian and others 36 kingdo ite m m e of sh jor the ha dan chapter 2 priority domains n education strategic plan 2018 2022 mi io is at n tr y of educ ministry of education there is a need to adapt the catch up program for students with special needs the program is designed for the children who are more than four years older than the prescribed age for the grade these children would join an intensive compensation program of one or two years depending on the need of each student individually and then be evaluated and re registered in public schools educational opportunities would also be provided for all of the categories in the community children youth and adults who missed education or dropped out along with qualified jordanians and refugee students so that non formal education programs will include students with disabilities students would be provided with appropriate non formal education p...,Country: Jordan<br>Report Name: Education strategic plan 2018-2022<br>Text Excerpt: ...than four years older than the prescribed age for the grade these children would join an intensive compensation program of one or two years depending on the need of each student individually and then be evaluated and re registered in public...,"Country: Jordan
Report Name: Education strategic plan 2018-2022
Text Excerpt: ...than four years older than the prescribed age for the grade these children would join an intensive compensation program of one or two years depending on the need of each student individually and then be evaluated and re registered in public...",0.9,verify,direct,direct,jordan_esp_2018-2022_0.pdf
291.0,English,Lebanon,2021,Lebanon five-year general education plan 2021-2025,http://planipolis.iiep.unesco.org/en/2021/lebanon-five-year-general-education-plan-2021-2025-7480,This can also include approaches to grouping children by level rather than age and transitioning children based on progress,...teachers are prepared to support children at different levels this can also include approaches to grouping children by level rather than age and transitioning children based on progress through learning los mitigation programmes as well as...,...rs is likely to require placement tests and intensive targeted support to return students to a suitable academic grade while the second group will require student remediation strategies to identify and support specific areas of weaknesses structured pedagogy through consistently applied approaches e g scripted lesson plans activities can ensure that teachers are prepared to support children at different levels this can also include approaches to grouping children by level rather than age and transitioning children based on progress through learning los mitigation programmes as well as well scripted lesson plans afterschool supplementary classes monitoring and teacher coaching can be core elements of improving learning and addressing learning loss 67 main strategies indicator baseline target source of 2025 information or programme component output sy 2019 20 1 5 1 developing a costed strategy approved n a 1 the strategy will nationwide s...,Country: Lebanon<br>Report Name: Lebanon five-year general education plan 2021-2025<br>Text Excerpt: ...teachers are prepared to support children at different levels this can also include approaches to grouping children by level rather than age and transitioning children based on progress through learning los mitigation programmes as well as...,"Country: Lebanon
Report Name: Lebanon five-year general education plan 2021-2025
Text Excerpt: ...teachers are prepared to support children at different levels this can also include approaches to grouping children by level rather than age and transitioning children based on progress through learning los mitigation programmes as well as...",0.95,verify,direct,direct,lebanon_general_education_plan_2021-2025.pdf
29.0,English,Nepal,2022,School education sector plan 2022/23-2031/32,http://planipolis.iiep.unesco.org/en/2022/school-education-sector-plan-202223-203132-7469,the real plan will roll out interventions to improve basic literacy and numeracy using a teach at the right level tarl approach that assesses students’ needs and provides targeted support,...plan has two phases in the first two years of the sesp program the real plan will roll out interventions to improve basic literacy and numeracy using a teach at the right level tarl approach that assesses students’ needs and provides targeted support these interventions will be around eight weeks in...,...eing developed into actionable strategies these policy actions are 1 reach every child and retain them in school 2 assess learning levels regularly 3 prioritise teaching the fundamentals 4 increase catch up learning 5 develop psychosocial health and wellbeing 107 nepal school education sector plan 2022 23 2031 32 the plan has two phases in the first two years of the sesp program the real plan will roll out interventions to improve basic literacy and numeracy using a teach at the right level tarl approach that assesses students’ needs and provides targeted support these interventions will be around eight weeks in duration the second phase of real will identify school and classroom practices that are proven to be highly effective and ensure their institutionalisation across the education system this scaling up of best practices will assist education providers with contextually appropriate and sustainable strategies to accelerate learning...,Country: Nepal<br>Report Name: School education sector plan 2022/23-2031/32<br>Text Excerpt: ...plan has two phases in the first two years of the sesp program the real plan will roll out interventions to improve basic literacy and numeracy using a teach at the right level tarl approach that assesses students’ needs and provides targeted support these interventions will be around eight weeks in...,"Country: Nepal
Report Name: School education sector plan 2022/23-2031/32
Text Excerpt: ...plan has two phases in the first two years of the sesp program the real plan will roll out interventions to improve basic literacy and numeracy using a teach at the right level tarl approach that assesses students’ needs and provides targeted support these interventions will be around eight weeks in...",0.98,verify,direct,direct,nepal_school_education_sector_plan_2022-23-2031-32_.pdf
355.0,English,Nepal,2023,Recovery and Accelerated Learning (ReAL) Plan (2023-2028),http://planipolis.iiep.unesco.org/en/2023/recovery-and-accelerated-learning-real-plan-2023-2028,the real plan will roll out interventions to improve basic literacy and numeracy using teach at the right level tarl 10 approach that assesses students’ needs and provide targeted support,...plan has two phases in the first two years of the sesp program the real plan will roll out interventions to improve basic literacy and numeracy using teach at the right level tarl 10 approach that assesses students’ needs and provide targeted support these interventions will be around six to ten weeks11...,...egies by aligning them with the existing policies plans and the governance system of the country these policy actions are 1 reach every child and retain them in school 2 assess learning levels regularly 3 prioritize teaching the fundamentals 4 increase catch up learning 5 develop psychosocial health and wellbeing the plan has two phases in the first two years of the sesp program the real plan will roll out interventions to improve basic literacy and numeracy using teach at the right level tarl 10 approach that assesses students’ needs and provide targeted support these interventions will be around six to ten weeks11 in duration which will be determined by the local government depending on school and student’s learning level and the need for recovery support the second phase of real plan will identify school and classroom practices that are proven to be highly effective and will ensure their institutionalization across the education syst...,Country: Nepal<br>Report Name: Recovery and Accelerated Learning (ReAL) Plan (2023-2028)<br>Text Excerpt: ...plan has two phases in the first two years of the sesp program the real plan will roll out interventions to improve basic literacy and numeracy using teach at the right level tarl 10 approach that assesses students’ needs and provide targeted support these interventions will be around six to ten weeks11...,"Country: Nepal
Report Name: Recovery and Accelerated Learning (ReAL) Plan (2023-2028)
Text Excerpt: ...plan has two phases in the first two years of the sesp program the real plan will roll out interventions to improve basic literacy and numeracy using teach at the right level tarl 10 approach that assesses students’ needs and provide targeted support these interventions will be around six to ten weeks11...",0.98,verify,direct,direct,nepal_real_plan_2023-2028.pdf
